Time (s),Memory Usage (MB),Frame Rate (FPS)
0.0,14.828125,105
1.0152535438537598,14.828125,181
2.032346248626709,14.828125,143
3.0484273433685303,14.828125,78
4.062214612960815,14.828125,63
5.07869553565979,14.828125,84
6.0944435596466064,14.828125,153
7.109396934509277,14.828125,48
8.131354331970215,14.828125,123
9.152605295181274,14.828125,38
10.194700956344604,14.828125,104
11.21360445022583,14.828125,198
12.229824304580688,14.828125,124
13.244663953781128,14.828125,45
14.270896673202515,14.828125,102
15.281875848770142,14.828125,247
16.295209407806396,14.828125,83
17.30894660949707,14.828125,81
18.321829557418823,14.828125,400
19.3344464302063,14.828125,169
20.344441652297974,14.828125,60
21.3545184135437,14.828125,271
22.364603996276855,14.828125,135
23.372494220733643,14.828125,635
24.38146185874939,14.828125,106
25.39211344718933,14.828125,60
26.40413475036621,14.828125,321
27.415555477142334,14.828125,93
28.428852796554565,14.83203125,989
29.435747861862183,14.8046875,193
30.447386264801025,14.8046875,95
31.4635066986084,14.8046875,402
32.47174072265625,14.8046875,256
33.48181867599487,14.8046875,141
34.48967695236206,14.8046875,381
35.50479984283447,14.8046875,167
36.52178168296814,14.8046875,286
37.533700704574585,14.8046875,116
38.54904127120972,14.8046875,118
39.56052780151367,14.8046875,62
40.57784914970398,14.8046875,60
41.590190410614014,14.8046875,409
42.60503101348877,14.8046875,344
43.6161253452301,14.8046875,98
44.62958073616028,14.8046875,89
45.6427743434906,14.8046875,60
46.65061616897583,14.8046875,139
47.661460161209106,14.8046875,74
48.675312995910645,14.8046875,843
49.688106060028076,14.8046875,206
50.702956676483154,14.8046875,152
51.718621253967285,14.8046875,142
52.730029344558716,14.8046875,83
53.74447441101074,14.8046875,60
54.75688147544861,14.8046875,54
55.777015209198,14.8046875,60
56.7864785194397,14.8046875,179
57.800851345062256,14.8046875,110
58.81725311279297,14.8046875,107
59.83413648605347,14.8046875,120
60.850172996520996,14.8046875,114
61.86318254470825,14.8046875,60
62.87372660636902,14.8046875,82
63.88624835014343,14.8046875,177
64.89935064315796,14.8046875,89
65.91469526290894,14.8046875,60
66.92356491088867,14.8046875,484
67.93431425094604,14.8046875,135
68.94568657875061,14.8046875,60
69.95592546463013,14.8046875,260
70.97026801109314,14.8046875,182
71.98538398742676,14.8046875,140
73.001540184021,14.8046875,134
74.01433515548706,14.8046875,95
75.02637982368469,14.8046875,60
76.03667879104614,14.8046875,191
77.04879927635193,14.8046875,104
78.05880498886108,14.8046875,810
79.07131433486938,14.8046875,189
80.08589482307434,14.8046875,155
81.09782981872559,14.8046875,79
82.11409854888916,14.8046875,60
83.12244272232056,14.8046875,257
84.13886737823486,14.8046875,222
85.15139484405518,14.8046875,137
86.16181206703186,14.8046875,60
87.17135787010193,14.8046875,220
88.18438363075256,14.8046875,123
89.19331002235413,14.8046875,2894
90.20448303222656,14.8046875,203
91.21624422073364,14.8046875,109
92.22717356681824,14.8046875,60
93.23502254486084,14.8046875,142
94.24495244026184,14.8046875,60
95.25606298446655,14.8046875,231
96.2669723033905,14.8046875,118
97.2770528793335,14.8046875,2794
98.28798031806946,14.8046875,198
99.29852437973022,14.8046875,92
100.3117036819458,14.8046875,1645
101.32044744491577,14.8046875,149
102.33903765678406,14.8046875,222
103.3517427444458,14.8046875,97
104.36848306655884,14.8046875,133
105.3784430027008,14.8046875,69
106.3934679031372,14.8046875,2785
107.40236115455627,14.8046875,136
108.4159505367279,14.8046875,101
109.42748498916626,14.8046875,60
110.43844842910767,14.8046875,158
111.45519399642944,14.8046875,212
112.46811890602112,14.8046875,123
113.47895359992981,14.8046875,398
114.48746109008789,14.8046875,148
115.5051863193512,14.8046875,70
116.52322220802307,14.8046875,174
117.53426718711853,14.8046875,118
118.54306149482727,14.8046875,69
119.55821132659912,14.8046875,353
120.57082867622375,14.8046875,139
121.5868809223175,14.8046875,130
122.59635162353516,14.8046875,1911
123.60473203659058,14.8046875,200
124.61685490608215,14.8046875,84
125.63331270217896,14.8046875,72
126.64751052856445,14.8046875,60
127.6580102443695,14.8046875,137
128.67464637756348,14.8046875,475
129.68683910369873,14.8046875,113
130.69725561141968,14.8046875,60
131.7080361843109,14.8046875,232
132.71856045722961,14.75,130
133.72855281829834,14.75,369
134.7376458644867,14.75,162
135.7531933784485,14.75,149
136.76720881462097,14.75,125
137.77579545974731,14.75,385
138.7875530719757,14.75,183
139.79767394065857,14.75,76
140.81428956985474,14.75,60
141.8226912021637,14.75,114
142.83811020851135,14.75,172
143.85030937194824,14.75,94
144.86347818374634,14.75,60
145.87179136276245,14.75,147
146.88743090629578,14.75,163
147.89740920066833,14.75,74
148.91314053535461,14.75,60
149.92139887809753,14.75,142
150.93934655189514,14.75,144
151.95580005645752,14.75,170
152.97224068641663,14.75,45
153.9955620765686,14.75,60
155.0046169757843,14.75,132
156.02060174942017,14.75,128
157.03125,14.75,475
158.03973722457886,14.75,47
159.0618932247162,14.75,60
160.07173132896423,14.75,126
161.08902215957642,14.75,174
162.10718536376953,14.75,177
163.12388634681702,14.75,207
164.14166045188904,14.75,87
165.15598011016846,14.75,174
166.1694700717926,14.75,115
167.18339347839355,14.75,60
168.19093871116638,14.75,293
169.2033920288086,14.75,112
170.21828532218933,14.75,111
171.22809600830078,14.75,3318
172.23753595352173,14.75,115
173.25372958183289,14.75,140
174.2657961845398,14.75,60
175.27397203445435,14.75,249
176.28727293014526,14.75,147
177.29889965057373,14.75,60
178.30896925926208,14.75,312
179.32026767730713,14.75,137
180.33057951927185,14.75,69
181.34804797172546,14.75,74
182.37068462371826,14.75,145
183.38132762908936,14.75,71
184.39632511138916,14.75,60
185.40660643577576,14.75,145
186.4272541999817,14.75,313
187.44261813163757,14.75,331
188.45730447769165,14.75,242
189.46955966949463,14.75,127
190.48040795326233,14.75,60
191.48854422569275,14.75,158
192.49947142601013,14.75,69
193.5158131122589,14.75,60
194.52381563186646,14.75,165
195.5376260280609,14.75,115
196.55414700508118,14.75,117
197.57029724121094,14.75,105
198.58813405036926,14.75,146
199.5990388393402,14.75,60
200.6089322566986,14.75,231
201.62420392036438,14.75,222
202.63631010055542,14.75,109
203.65053987503052,14.75,81
204.6667242050171,14.75,81
205.6833620071411,14.75,79
206.69781160354614,14.75,60
207.7108027935028,14.75,733
208.7206494808197,14.75,135
209.73171997070312,14.75,60
210.73976063728333,14.75,142
211.7560532093048,14.75,142
212.7719750404358,14.75,110
213.7890088558197,14.75,132
214.80527353286743,14.75,144
215.81840062141418,14.75,65
216.83806943893433,14.75,126
217.85298991203308,14.75,70
218.8679370880127,14.75,90
219.88343572616577,14.75,84
220.89629459381104,14.75,60
221.9044394493103,14.75,105
222.92113614082336,14.75,135
223.9336428642273,14.75,85
224.9461932182312,14.75,2510
225.95576453208923,14.75,135
226.9740605354309,14.75,189
227.9863269329071,14.75,90
229.00314259529114,14.75,98
230.0208466053009,14.75,101
231.03654098510742,14.75,102
232.0509853363037,14.75,165
233.05921936035156,14.75,224
234.07529711723328,14.75,193
235.09162306785583,14.75,158
236.10592579841614,14.75,148
237.11623644828796,14.75,69
238.1356041431427,14.75,60
239.1441252231598,14.75,62
240.1607367992401,14.75,53
241.18081831932068,14.75,60
242.1894052028656,14.75,124
243.20466017723083,14.75,131
244.21529698371887,14.75,60
245.22779893875122,14.75,508
246.23894453048706,14.75,153
247.2495002746582,14.75,85
248.26214337348938,14.75,798
249.27354502677917,14.75,125
250.28551411628723,14.75,87
251.29998660087585,14.75,72
252.31461691856384,14.75,60
253.32357740402222,14.75,123
254.3396246433258,14.75,109
255.35547733306885,14.75,114
256.3741011619568,14.75,193
257.3844151496887,14.75,60
258.39297795295715,14.75,99
259.4037215709686,14.75,122
260.4149076938629,14.75,60
261.4241931438446,14.75,182
262.43689012527466,14.75,117
263.44870376586914,14.75,60
264.45836663246155,14.75,243
265.47004079818726,14.75,96
266.4906361103058,14.75,185
267.50399589538574,14.75,118
268.5150167942047,14.75,60
269.5245056152344,14.75,203
270.53869128227234,14.75,135
271.5523405075073,14.75,91
272.5709490776062,14.75,117
273.5855989456177,14.75,88
274.6019070148468,14.75,91
275.6157314777374,14.75,60
276.6255588531494,14.75,258
277.63676929473877,14.75,107
278.64898347854614,14.75,72
279.66606044769287,14.75,60
280.6757411956787,14.75,242
281.68804955482483,14.75,125
282.70225262641907,14.75,97
283.7133197784424,14.75,60
284.7223768234253,14.75,80
285.737553358078,14.75,114
286.752507686615,14.75,64
287.7688834667206,14.75,90
288.7857246398926,14.75,94
289.7974512577057,14.75,1974
290.80633187294006,14.75,144
291.81938123703003,14.75,100
292.83130741119385,14.75,1971
293.8400139808655,14.75,147
294.8552384376526,14.75,122
295.869562625885,14.75,93
296.893253326416,14.75,283
297.9040496349335,14.75,109
298.91735315322876,14.75,60
299.926265001297,14.75,256
